CompanyName, Designation, Ratings, Address
Honeywell, Software Engineer, 3.8, Redmond - WA 98052 (Overlake area)
Zulily, Software Engineer I, 3.2, Seattle - WA 98121 (Belltown area)
Nordstrom, Software Engineer - Product Platform Team, 3.9, Seattle - WA
The Climate Corporation, Software Engineer - Backend (Multiple levels), 3.6, Seattle - WA 98104 (Downtown area)
Microsoft, Software Engineer, 4.2, Redmond - WA
Facebook, Software Engineer - Blockchain (University Grad), 4.2, Seattle - WA 98101
Expedia.com, New Graduate - Software Development Engineer 1, 3.9, Seattle - WA 98119
Apple, Software Engineer - Front-end, 4.2, Seattle - WA
Convoy, Software Engineer _ Marketplace, 3.9, Seattle - WA 98121 (Denny Triangle area)
Microsoft, Software (Firmware) Development Engineer 2, 4.2, Redmond - WA
Zillow, Software Development Engineer - Zillow Offers Platform, 3.8, Seattle - WA 98101 (Downtown area)
Apple, Software Engineer - Front-end, 4.2, Seattle - WA
Agilysys - Inc., Junior Software Engineer, NaN, Bellevue - WA 98007 (Eastgate area)
Discovery Communications, Software Engineer I - iOS, 4.2, Bellevue - WA
lululemon athletica, Software Engineer, 4.3, Seattle - WA
GENSCRIPT USA INCORPORATED, Software Engineer, 3.7, Bothell - WA
Redfin, Software Development Engineer II (Customer Relationship Engi..., 3.3, Seattle - WA
Microsoft, Software (Firmware) Development Engineer 2, 4.2, Redmond - WA
HCL Americas, SOFTWARE ENGINEER, 2.7, King County - WA
f5, Software Engineer Intern, 4.0, Seattle - WA
Amazon.com Services LLC, Software Development Engineer I, 3.6, Seattle - WA
Axon, Software Engineer - Fleet, 3.2, Seattle - WA 98103 (Fremont area)
Zillow, Android Software Development Engineer, 3.8, Seattle - WA 98101 (Downtown area)
Microsoft, Full Time Opportunities for Students or Recent Graduates: So..., 4.2, Redmond - WA
Apple, AI/ML Software Engineer, 4.2, Seattle - WA
Comtech Telecommunications Corp., E911 Software Test Engineer, 3.5, Seattle - WA 98121 (Belltown area)
Motorola Solutions, Software Engineer (2020 Summer Internship), 4.1, Seattle - WA 98121 (Belltown area)
Dell, UDS Storage Software Engineer, 4.0, Seattle - WA 98133 (Broadview area)
Apple, Software Engineer, 4.2, Seattle - WA
Zillow Group, Software Development Engineer - Intern, 3.8, Seattle - WA 98101 (Downtown area)
Oracle, Software Engineer, 3.8, Seattle - WA
Motorola Solutions, Software Engineer (2020 Summer Internship), 4.1, Seattle - WA 98121 (Belltown area)
Discovery Communications, Software Engineer I - AndroidTV/FireTV, 4.2, Bellevue - WA
Discovery Communications, Software Engineer II - Roku, 4.2, Bellevue - WA
Zillow Group, Software Development Engineer - Intern, 3.8, Seattle - WA 98101 (Downtown area)
Discovery Communications, Software Development Engineer I, 4.2, Bellevue - WA
Microsoft, Software Engineer - CTJ, 4.2, Redmond - WA
Groupon - Inc., Frontend/Full Stack Software Engineer - Things to Do, 3.6, Seattle - WA 98101 (Downtown area)
Microsoft, Software Engineer II (Key Vault), 4.2, Redmond - WA
Vulcan Inc., Research Software Engineer Intern, 3.6, Seattle - WA
Google, Software Engineer - Stadia, 4.3, Seattle - WA
Zillow, Software Development Engineer- Listing Data, 3.8, Seattle - WA 98101 (Downtown area)
Microsoft, Software Engineer II (Key Vault), 4.2, Redmond - WA
Zulily, Software Engineer - Site, 3.2, Seattle - WA 98121 (Belltown area)
Microsoft, Software Engineer - CTJ, 4.2, Redmond - WA
Placements.io, Frontend Software Engineer, NaN, Seattle - WA 98104
Facebook, Software Engineer - Shell (Oculus), 4.2, Seattle - WA 98101
DocuSign, Front End Software Engineer – Data Clarity, 3.7, Seattle - WA 98101 (Downtown area)
Samsung Electronics, Software Development Engineer Intern - Summer 2020, 4.0, Bellevue - WA 98004 (Downtown area)
Samsung Electronics, Staff Engineer I - Software Process Engineering, 4.0, Bellevue - WA 98004 (Downtown area)
Facebook, Software Engineer - Shell (Oculus), 4.2, Seattle - WA 98101 (Downtown area)
Zulily, Software Engineer - Site, 3.2, Seattle - WA 98121 (Belltown area)
Accenture, Entry Level Accenture Technology Software Engineer Associate, 4.0, Seattle - WA 98104
